,Unnamed: 0,movie_title,overview,genre
93,93,Klaus,jesper distinguish postal academi worst student sent smeerensburg small villag locat ici island arctic circl grumpi inhabit bare exchang word let alon letter jesper give abandon duti postman meet local teacher alva klau mysteri carpent live alon cabin full handmad toy,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
94,94,Puss in Boots: The Last Wish,puss boot discov passion adventur taken toll burn eight nine live leav one life left puss set epic journey find mythic last wish restor nine live,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
95,95,Green Book,toni lip bouncer 1962 hire drive pianist shirley tour deep south day african american forc find altern accommod servic due segreg law masondixon line reli guid call negro motorist green book,"['Drama', 'History']"
96,96,青春ブタ野郎はゆめみる少女の夢を見ない,fujisawa sakuta azusagawa second year high school bliss day girlfriend upperclassman mai sakurajima interrupt appear first crush shoko makinohara,"['Animation', 'Comedy', 'Drama', 'Fantasy', 'Romance']"
97,97,君の膵臓をたべたい,classmat crush diagnos pancreat diseas averag high schooler set make final day,"['Animation', 'Drama', 'Romance']"
98,98,Mommy,peculiar neighbor offer hope recent widow struggl rais teenag unpredict sometim violent,['Drama']
99,99,C'eravamo tanto amati,three partisan bound strong friendship return home war clash everyday realiti put strain bond,"['Comedy', 'Drama']"
100,100,아가씨,1930 korea swindler young woman pose japanes count handmaiden seduc japanes heiress steal fortun,"['Drama', 'Romance', 'Thriller']"
101,101,劇場版「鬼滅の刃」無限列車編,tanjiro kamado join inosuk hashibira boy rais boar wear boar head zenitsu agatsuma scare boy reveal true power sleep board infin train new mission fire hashira kyojuro rengoku defeat demon torment peopl kill demon slayer oppos,"['Action', 'Adventure', 'Animation', 'Fantasy', 'Thriller']"
102,102,おおかみこどもの雨と雪,werewolf lover unexpectedli die accid woman must find way rais son daughter howev inherit father trait prove challeng,"['Animation', 'Drama', 'Family', 'Fantasy']"
103,103,Top Gun: Maverick,thirti year servic one navi ’s top aviat dodg advanc rank would ground pete “ maverick ” mitchel find train detach top gun graduat special mission like live pilot ever seen,"['Action', 'Drama']"
104,104,The Shop Around the Corner,two employe gift shop bare stand one anoth without realis fall love post other anonym pen pal,"['Comedy', 'Drama', 'Romance']"
105,105,Como caído del cielo,return earth imit legendari mexican artist pedro infant must prove longer woman enter paradis,"['Comedy', 'Drama', 'Music']"
106,106,Inglourious Basterds,nazioccupi franc world war ii group jewishamerican soldier known basterd chosen specif spread fear throughout third reich scalp brutal kill nazi basterd lead lt aldo rain soon cross path frenchjewish teenag girl run movi theater pari target soldier,"['Drama', 'Thriller', 'War']"
107,107,The Shining,jack torranc accept caretak job overlook hotel along wife wendi son danni must live isol rest world winter are nt prepar mad lurk within,"['Horror', 'Thriller']"
108,108,Witness for the Prosecution,leonard vole arrest sensat murder rich middleag widow famou sir wilfrid robart agre appear behalf sir wilfrid recov nearfat heart attack suppos diet bland civil suit — but lure crimin court much especi case difficult,"['Crime', 'Drama', 'Mystery']"
109,109,Gladiator,year 180 death emperor marcu aureliu throw roman empir chao maximu one roman armi capabl trust gener key advisor emperor marcu deviou son commodu ascend throne maximu set execut escap captur slave trader renam spaniard forc becom gladiat maximu must battl death men amus pay audienc,"['Action', 'Adventure', 'Drama']"
110,110,The Matrix,set 22nd centuri matrix tell stori comput hacker join group underground insurg fight vast power comput rule earth,"['Action', 'Science Fiction']"
111,111,The Apartment,bud baxter minor clerk huge new york insur compani discov quick way climb corpor ladder lend apart execut place take mistress although often deal aftermath visit one night he s left major problem solv,"['Comedy', 'Drama', 'Romance']"
112,112,Steven Universe: The Movie,two year bring peac galaxi steven univers see past come back haunt form derang gem want destroy earth,"['Adventure', 'Animation', 'Comedy', 'Fantasy', 'Music', 'TV Movie']"
113,113,Coco,despit famili ’s baffl generationsold ban music miguel dream becom accomplish musician like idol ernesto de la cruz desper prove talent miguel find stun color land dead follow mysteri chain event along way meet charm trickster hector togeth set extraordinari journey unlock real stori behind miguel famili histori,"['Adventure', 'Animation', 'Family', 'Music']"
114,114,Saving Private Ryan,us troop storm beach normandi three brother lie dead battlefield fourth trap behind enemi line ranger captain john miller seven men task penetr germanheld territori bring boy home,"['Drama', 'History', 'War']"
115,115,The Art of Racing in the Rain,famili dog – nearhuman soul philosoph mind – evalu life lesson learn human owner racecar driver,"['Drama', 'Romance']"
116,116,Il sorpasso,roberto shi law student rome meet bruno fortyyearold exuber caprici man take drive roman tuscani countri summer journey start blend daili live though pair ’s newfound friendship test,"['Comedy', 'Drama']"
117,117,Wolfwalkers,time superstit magic wolv seen demon natur evil tame young apprentic hunter come ireland father wipe last pack save wild nativ girl friendship lead discov world wolfwalk transform thing father task destroy,"['Adventure', 'Animation', 'Family', 'Fantasy']"
118,118,A Clockwork Orange,nearfutur britain young alexand delarg pal get kick beat rape anyon pleas destroy live other alex swoon music beethoven state eager crack juvenil crime give incarcer alex option undergo invas procedur that ll rob person agenc time conscienc commod alex chang tune,"['Crime', 'Science Fiction']"
119,119,Hamilton,present tale american found father alexand hamilton film version origin broadway smash hit stori america told america,"['Drama', 'History']"
